artificial_line,reply
禁酒の会に参加しました,煙草バージョンとかは無理か。
英語の勉強がしたい,英語を本気で勉強するには、二三ヶ月でいいから、英語に集中するだけ。それで、あとは量の問題になるのだが…
Agdaやってて楽しいの?,なんか、超絶楽しいんですが...
ユーザが増えるとサーバの負荷が心配です,人が増えるのは素晴らしいことなはずなのに
野菜最近食べてない,野菜で、ふっとホリエモンの話題を思い出したが、あれって食事中にホリエモンの嫌いな話題をわざと出して怒らせたやつなんだよな。趣味の悪い話を笑う人たち。
片想い中です,げ、Kunen だと Union の公理は片方向だけか。なるほど。
gmail調子悪い?,Gmail 間の転送ができてないなぁ。
コロナの感染者の状況はどうですか,今日の東京は自分の予想よりは低め
沖縄の交通,もう、良いよ。それに、関しては諦めました。
IPv6の短所を教えてください,IPv6 アドレスは、正規表現で表せないと言う楽しい問題があるらしい。Perl6 ではいけるのか?
オートマンの宿題は何ですか?,DotからAgdaの有限圏を生成するscriptとか書けるな。
rm -rf /*,怖くて試せない :-p
